,grav
67896,1
60647,3
52490,1
272778,4
170485,1
246264,4
65148,1
31684,1
147797,1
212402,1
313827,4
161798,4
159995,1
285454,3
316059,1
47593,4
171422,1
31161,1
277103,4
285892,1
270672,4
168886,2
149263,4
15424,4
231466,1
82604,4
115631,4
131467,1
296073,1
285092,1
58525,3
137807,4
29763,1
241264,1
168192,4
124929,1
152000,1
105779,1
22511,4
218582,1
18597,1
150530,1
74285,4
225811,1
142176,4
249880,1
43692,4
93396,3
176039,3
286425,1
20700,4
279440,4
6009,4
280323,1
46541,3
140905,1
175711,1
272861,1
219592,4
227631,4
162741,4
73267,1
91691,3
63650,4
249338,4
281647,3
217433,3
229030,3
173001,3
71493,1
14030,1
60968,3
36147,1
200454,1
74486,4
220477,1
131372,3
42628,1
186701,4
3926,3
238795,4
312672,4
228977,3
101539,1
203724,4
62049,3
128818,1
187530,3
183326,1
7866,3
85312,1
263286,4
218033,4
87038,3
95731,4
72386,1
301286,1
181649,4
126287,1
95362,1
3997,4
148448,3
241293,4
20607,1
118405,1
236635,2
311665,1
109750,4
180606,1
98141,4
57939,4
61503,4
83280,4
77503,4
117720,1
67981,4
92516,4
251424,1
32786,1
77773,4
243538,1
129426,1
288877,3
21851,3
260699,3
151622,3
57283,4
32299,1
22257,4
144637,2
69370,1
240480,1
80938,1
288951,4
251744,1
145183,2
209619,1
142743,1
191446,1
186728,1
311056,1
105091,1
125321,1
112186,3
13255,3
143497,1
232115,3
194086,3
235565,4
158929,4
93884,3
58505,1
217698,1
221566,1
8856,1
250334,1
148142,3
262655,1
243288,3
190468,3
146289,4
76867,3
43578,3
35024,4
11975,1
86542,3
39362,1
249001,1
122578,1
168849,4
200277,1
55072,3
231519,1
75012,1
53179,4
704,2
318884,1
302827,4
314673,1
171383,1
47186,1
127915,1
9760,1
68079,4
63315,4
210916,1
182641,1
274812,4
102457,4
11949,3
131427,1
246024,1
326800,4
108618,3
3982,3
91045,4
200456,3
58022,1
102122,4
24454,1
28483,4
25385,1
9582,1
130056,2
274712,4
201366,4
140097,3
184620,4
208962,1
96623,1
38500,1
189571,1
240877,3
214621,1
137164,1
200513,1
300217,1
219998,3
209361,4
18437,1
292184,4
120204,4
323784,4
39345,1
293475,4
66794,1
164747,4
186034,4
171591,1
190798,4
317683,1
245838,4
309421,4
188871,1
128035,1
318163,4
247122,1
280452,4
138876,4
77650,1
135692,1
82548,4
73321,4
298262,4
7450,4
15045,1
163817,3
282485,4
281858,3
318889,1
33294,1
318231,1
111699,1
167530,1
171545,4
259034,1
69062,4
17849,3
141394,4
206748,3
187122,1
200043,4
187135,1
42075,4
198086,4
185295,1
133566,4
137682,1
159592,4
325507,1
153991,3
26909,4
5292,1
64101,3
207989,4
83121,4
183568,4
196270,4
163516,1
296624,4
160155,4
291983,4
139243,4
70026,1
30351,4
235949,4
4450,1
164308,3
2972,4
36099,1
172340,1
280633,3
40067,1
226037,4
174282,4
120012,4
319434,4
11694,1
80642,1
213859,4
216223,4
282917,1
60685,1
219360,1
17604,1
181512,3
68659,4
284482,3
180825,1
288536,1
110653,4
242242,4
209478,1
195872,4
107208,4
14461,4
237025,4
73866,4
57259,1
45783,4
178829,1
263495,1
50420,1
252727,1
130341,1
122321,2
276378,4
58788,3
90223,1
166152,1
314209,1
291893,3
13758,1
247918,4
2602,4
198294,1
185088,4
192940,1
144908,1
288573,4
66952,1
250896,4
45404,1
228600,1
268580,1
280957,1
162961,1
162010,1
144078,4
98770,1
236072,1
142984,4
90894,1
115840,3
304930,1
119444,4
139992,4
194906,3
217290,4
32897,1
230688,4
217573,4
59379,1
258600,4
93320,3
206994,1
196193,1
15653,1
192010,4
30098,4
125179,1
117522,1
79101,1
127565,4
71573,4
174429,1
261406,1
17662,4
269785,3
133867,1
98259,1
197525,4
90725,1
292220,1
38755,1
80603,1
148612,1
166531,3
170244,1
190757,1
170862,3
101142,1
321022,1
257067,4
215056,1
42105,1
306074,3
113343,4
326275,1
187539,1
294954,4
141419,1
81162,4
129796,1
292059,3
55724,1
288718,4
88977,4
79855,3
246690,1
322986,1
4019,4
95438,4
69360,3
24851,4
239236,4
72642,4
125510,4
267829,1
317378,4
232677,1
112986,4
134048,1
29880,1
20347,4
202423,4
7075,1
61392,4
120699,3
90068,1
268237,4
2372,1
41979,4
12771,1
239922,4
209918,1
67213,4
18536,1
127289,1
185729,1
150808,4
241138,3
41404,4
302073,4
130951,1
114861,4
286888,1
322908,2
290370,3
237677,1
11010,1
314382,4
232519,1
163202,1
100115,1
322921,1
21478,4
42461,4
107143,1
63360,4
258682,1
49042,4
110785,2
162158,4
134526,4
206028,4
185491,4
173298,1
124171,1
285517,4
35895,1
29423,3
248835,1
74998,4
232858,4
242907,1
312293,1
229007,1
314908,4
243815,4
224385,1
179222,4
170753,1
114665,4
189198,3
313119,1
262591,3
93548,4
119662,2
104665,1
182282,3
150277,1
228757,3
301911,2
162448,1
40689,4
73952,4
153671,4
80647,1
18483,4
216074,4
25978,3
174206,1
325897,4
233513,2
139475,3
59363,1
235597,4
265012,3
174113,1
4481,4
88194,3
276041,1
22138,1
181754,4
169498,1
215888,4
313629,4
297862,4
185527,4
264429,1
87163,1
37753,4
276923,4
89563,4
227892,1
255385,3
322489,3
22102,1
312292,4
239206,4
312383,1
227957,1
172080,4
55625,4
22898,3
77235,1
277010,4
97931,1
11687,4
28150,4
287106,1
51474,3
195772,3
184244,1
146545,3
5344,3
218130,4
118719,1
218233,4
237274,1
12414,1
109125,3
161148,1
308740,4
187618,4
190140,4
262831,3
20285,1
273792,1
66085,4
29460,3
251200,4
270392,4
49279,1
160265,4
173578,1
189597,4
283300,4
223079,1
319444,4
198030,4
92993,1
181074,1
144074,1
265668,1
230019,4
122139,4
306704,4
16307,4
118829,1
276972,4
240987,1
312620,1
269092,4
20317,1
255062,1
182167,1
35458,1
275427,1
301989,2
306098,1
17403,1
217643,4
128490,1
108800,4
224164,1
225011,1
321160,1
80477,3
89981,3
102151,1
231707,4
178412,4
299048,1
220957,4
211619,1
79433,4
166734,1
265578,1
147064,4
64915,1
93237,3
279219,1
282071,4
316013,3
36150,4
251471,4
19454,3
241579,4
7999,1
34305,4
50639,4
61347,1
225742,4
37716,4
298799,1
25867,1
255765,4
15197,4
99815,3
185790,4
118962,4
94027,2
195462,4
280180,4
10901,3
251120,2
225798,1
176802,4
25523,3
125177,1
318814,4
53817,1
300562,4
120814,1
143068,4
126461,4
297581,1
174642,1
282762,1
99777,1
307341,1
66902,4
10072,1
325676,3
214829,4
251461,4
242526,4
74437,4
111405,3
247731,1
78422,1
200782,4
3560,1
275047,1
104029,4
200724,1
270057,3
8665,1
97006,1
245876,1
221080,4
71764,4
184932,1
233917,1
174325,1
298580,1
279335,3
258248,4
326287,4
305491,4
227099,4
99633,1
320326,4
130742,1
124477,3
234173,4
12609,1
45947,3
21596,2
152970,4
204414,1
159050,3
17333,4
273870,3
212401,1
160504,1
222820,1
185840,1
260812,1
324272,4
116485,1
326368,1
133979,1
118378,4
137290,1
271786,1
299169,1
4217,1
28870,1
263835,1
198847,1
28740,3
208799,3
61001,3
274050,1
286747,4
256424,3
131213,1
144312,1
97491,1
319890,4
5406,4
101256,3
19019,1
237263,4
295562,4
67809,3
318701,1
59662,1
252886,3
137933,1
84555,3
261090,1
93641,4
139548,1
297090,1
234385,4
287229,4
223640,1
300204,1
266426,4
204281,4
14831,1
182462,4
61913,1
29626,1
244260,4
125274,4
56672,1
171021,4
129485,3
26656,1
101248,1
198329,1
215308,1
180575,3
231309,4
55970,3
293159,4
229542,1
194597,4
256631,4
58016,1
113073,4
300209,4
187738,4
266485,3
55651,3
14894,4
39686,1
194657,1
90564,1
135228,3
30877,1
107317,3
142375,4
79311,2
270420,1
244557,1
252144,1
173625,3
287474,4
159076,4
2312,1
154183,1
322607,4
248166,2
30534,1
212505,1
77335,1
285966,4
174232,4
46399,3
15790,3
92651,1
231777,1
37527,1
205351,4
184516,3
240064,3
261513,1
206969,3
5153,3
124692,4
96561,1
263157,1
319389,4
206903,1
149586,3
81058,1
234822,1
76646,3
246399,4
130092,1
20671,1
257168,3
319908,4
112103,1
116544,1
204888,4
31277,1
229438,1
51245,1
125388,4
119477,4
157419,1
78633,1
281961,3
169335,1
11666,4
90734,4
230835,4
7901,1
49948,4
293373,4
245478,1
191037,1
211682,1
215558,1
254793,3
92096,4
184196,1
126793,4
267314,4
163644,1
201244,3
141237,4
122483,1
16710,4
151135,3
151833,4
75659,1
87432,1
51332,1
152093,3
277344,1
312555,3
52736,1
63594,3
282299,4
130110,4
21899,4
216700,1
137890,1
311020,4
273555,1
303426,1
178030,4
256456,3
222382,1
187150,4
103104,4
76298,3
20770,1
253788,4
136718,1
230430,3
235665,1
133172,4
323952,1
117911,1
240730,3
273072,3
171867,3
15826,1
310448,4
113646,4
294992,4
231853,1
210614,1
310071,1
296593,4
7900,1
96079,4
202708,1
147852,3
124684,3
310341,4
185667,4
98979,1
216986,3
181924,3
268408,3
88569,4
52751,2
156351,1
311684,1
46471,1
78209,1
186097,1
327385,1
84900,3
78316,4
8232,1
161876,1
33158,1
24858,3
17918,4
1581,4
234913,3
222040,1
67458,3
302769,4
145810,1
188985,1
39040,3
274331,1
199658,1
195618,3
258595,4
136326,4
261885,1
326334,1
178526,1
324280,2
32831,3
208234,1
65269,4
79456,4
251399,1
234376,3
174265,4
288165,1
120500,1
139281,1
105757,3
197658,4
248627,1
191130,3
157125,1
89529,3
51702,1
111881,1
317312,3
176185,1
128749,4
84906,4
51434,4
20207,4
156076,4
14608,4
105845,4
13002,1
139841,3
172146,4
1557,1
280780,1
220739,4
250740,4
237447,4
27995,4
249198,4
302942,3
157095,3
237254,4
28624,3
111663,4
145988,4
277602,1
135414,4
189349,3
282211,1
221913,4
43011,1
75063,3
145248,3
278023,4
84511,1
136730,3
46592,1
63495,4
16590,4
10280,1
294801,4
207218,3
236385,1
327320,1
35771,1
23695,1
173472,1
251220,1
89808,3
33181,4
173669,1
69320,1
179056,1
212830,3
128175,4
311985,1
44379,3
79287,1
77353,3
195957,1
235968,4
10627,4
69028,4
311668,3
313767,4
325878,4
85767,4
120871,1
72312,4
22045,4
218149,1
201564,4
277867,3
22848,1
192706,1
91025,3
68786,2
239941,1
185533,1
151454,1
317904,4
324109,3
8239,4
177309,4
201344,1
211756,4
220365,3
107006,3
80077,4
301014,1
313289,1
134387,1
235709,3
119584,1
157428,4
18827,1
45126,4
53668,3
263792,1
279479,1
319319,1
99197,4
290968,1
252208,4
63348,1
36577,1
263422,1
46929,3
92337,4
7255,4
42446,4
58157,1
305831,1
288065,1
121488,4
244606,3
178643,4
242473,4
286410,4
176271,3
169458,1
314130,1
296488,4
289258,4
3906,1
272453,4
293668,4
124800,3
107148,3
221822,4
96504,4
103213,1
147695,4
18424,4
100108,4
206099,1
258889,1
31708,1
319556,4
13236,3
230191,2
290813,1
33912,4
188032,1
212030,3
118459,1
22473,1
280915,2
93236,4
253642,1
137618,1
145620,4
326026,1
188082,3
225257,1
291153,1
93991,4
252963,3
172394,1
298195,4
20901,3
161696,1
67503,4
98601,4
39942,1
140340,3
253588,4
246058,2
61053,3
167317,1
300395,4
58263,1
112198,1
258341,3
327641,1
190243,1
186004,1
136463,1
207830,4
151769,1
112460,4
115821,4
310921,1
131840,3
327284,1
53765,1
151801,4
12881,4
55895,4
7846,1
256129,1
86250,1
306146,3
265429,1
149356,1
235196,4
164961,4
55260,1
291852,1
1635,1
196852,3
62819,1
128876,4
185338,1
275394,1
58696,1
38168,1
49025,4
242398,4
110020,1
229757,4
20194,4
176184,1
261218,4
221594,4
293368,3
171760,4
25501,4
149223,1
210680,1
52480,1
189634,1
4900,1
73047,1
252082,3
146007,1
175383,4
170164,4
309038,4
18153,3
264893,1
54526,1
326134,1
254959,1
47585,3
192174,4
308194,1
18294,4
260682,4
246773,4
292290,3
93888,4
92702,4
79589,4
286283,1
114987,1
161572,4
249815,1
26680,1
236609,4
177895,1
151619,4
140369,1
249679,2
165899,4
5831,1
233638,1
302259,4
315222,1
77749,4
140854,3
256830,3
22801,1
301051,1
49744,4
169537,1
206337,1
53236,1
327513,1
243272,1
291040,1
308544,3
227989,3
279686,1
156197,4
51416,3
216641,4
148943,1
180022,4
124357,1
322012,1
137524,1
299066,1
304127,3
38559,1
109647,4
223472,1
181239,4
256471,1
107467,1
170478,1
176942,1
143133,1
40077,1
234044,1
205083,1
47505,4
232253,4
104741,1
208153,1
304130,4
14928,3
228398,1
180841,1
225755,1
259689,4
204213,1
292572,1
261034,4
59546,4
131217,1
12956,4
84899,4
284095,1
285661,1
192006,4
272925,1
229375,4
252998,1
46425,4
325859,2
271,1
175231,1
147315,3
273221,4
68752,4
254259,1
68062,3
221129,1
225686,4
80400,4
276209,1
189706,3
248360,4
127207,4
