,grav
197021,1
197795,1
248965,1
245305,1
169024,1
64806,1
19387,1
174932,1
179217,1
255519,1
21832,1
243212,1
184859,1
261250,1
203226,1
108805,1
109659,1
178731,1
237304,1
70999,1
237302,1
84458,1
64989,1
128599,1
126073,1
130257,1
240215,1
235610,1
118205,1
175801,1
13417,1
160857,1
20620,1
24662,1
1347,1
174131,1
7922,1
251020,1
18707,1
62818,1
178559,1
59247,1
57708,1
104323,1
51580,1
77316,1
82104,1
185967,1
208690,1
136028,1
169626,1
107878,1
153552,1
15003,1
78981,1
206372,1
91423,1
44836,1
194581,1
176792,1
10212,1
29694,1
43922,1
157625,1
124029,1
198917,1
240507,1
77684,1
108442,1
178890,1
112666,1
135526,1
179153,1
136669,1
153145,1
182501,1
108171,1
232482,1
54122,1
158037,1
151446,1
134141,1
157588,1
87681,1
90845,1
172924,1
181458,1
109530,1
121863,1
45921,1
218039,1
6050,1
251940,1
79960,1
4629,1
102061,1
157233,1
249515,1
184427,1
91545,1
119100,1
174627,1
50927,1
185753,1
236557,1
78814,1
83275,1
193941,1
166679,1
120295,1
108549,1
60172,1
214124,1
32161,1
247185,1
51654,1
229411,1
214458,1
192158,1
70909,1
67482,1
167313,1
236619,1
1349,1
16742,1
181495,1
106081,1
83560,1
221496,1
174309,1
116059,1
83765,1
189728,1
15002,1
157291,1
226632,1
173461,1
68834,1
138996,1
175911,1
20350,1
163077,1
170735,1
154573,1
105596,1
201592,1
176872,1
87254,1
74564,1
197483,1
119246,1
251718,1
198319,1
259990,1
121697,1
144461,1
21500,1
194104,1
258962,1
26972,1
23148,1
150494,1
182830,1
249467,1
64868,1
225991,1
188006,1
259874,1
192217,1
125363,1
186602,1
176461,1
181452,1
72869,1
215338,1
253486,1
12298,1
548,1
8923,1
140648,1
113106,1
84099,1
190887,1
11291,1
164101,1
196628,1
38503,1
178309,1
251177,1
158445,1
75473,1
175758,1
202303,1
217767,1
106212,1
238124,1
34519,1
249374,1
131272,1
199557,1
251418,1
139004,1
165677,1
240250,1
178707,1
107428,1
140661,1
177388,1
223132,1
230653,1
167335,1
